City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
253,Tual,ID,83.77,-5.6667,132.75,Grand Vilia Hotel
254,Maningrida,AU,89.31,-12.0667,134.2667,Dhukurrdji Lodge
256,Saint-Philippe,RE,81.99,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
257,Zhuanghe,CN,34.66,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
259,Kohlu,PK,53.4,29.8962,69.252,B &R Rest House
260,Lambarene,GA,74.41,-0.7001,10.2406,Le Refuge
261,Luwuk,ID,84.47,-0.9516,122.7875,Hotel Santika Luwuk
262,Libertador General San Martin,AR,71.94,-23.8064,-64.7876,Posada del Sol
263,Mahanoro,MG,80.62,-19.9,48.8,BUNGALOW MAHAMANINA
264,Namatanai,PG,85.51,-3.6667,152.4333,Seagulls Inn Namatani
266,Riyadh,SA,51.94,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
268,Grand Gaube,MU,82.8,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
270,Tuatapere,NZ,59.83,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
271,Umm Lajj,SA,70.56,25.0213,37.2685,Moon light Furnished Units
272,Yeniseysk,RU,3.38,58.4497,92.1703,"""Domino"""
273,Matamoros,MX,42.37,25.5333,-103.25,Quinta Belem
274,Katsuura,JP,44.71,35.1333,140.3,Katsuura Hotel Mikazuki
275,New Smyrna Beach,US,55.99,29.0258,-80.927,Hampton Inn New Smyrna Beach
276,Jatai,BR,66.67,-17.8814,-51.7144,Hotel Califórnia
277,Rucheng,CN,44.96,32.3883,120.5553,Vienna Hotel Rugao Zhengxiang Square
279,Berezovyy,RU,8.67,51.6667,135.7,"Hotel ""Phoenix"""
280,Rocha,UY,63.0,-34.4833,-54.3333,Hotel Arrarte
281,Kangaba,ML,67.46,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
282,Verkh-Usugli,RU,13.87,52.7,115.1667,"Gostinitsa ""Sever"""
283,Bathsheba,BB,77.61,13.2167,-59.5167,Atlantis Hotel
284,Aksay,RU,38.25,47.26,39.87,Chernaya Zhemchuzhina
285,Saint-Pierre,RE,82.08,-21.3393,55.4781,Lindsey Hôtel
286,Sagar,IN,74.01,23.8333,78.7167,Hotel Devyog
288,Nouadhibou,MR,64.76,20.931,-17.0347,El Medina
291,Kieta,PG,83.73,-6.2167,155.6333,Uruna Bay Retreat
292,Mocuba,MZ,73.83,-16.8392,36.9856,Phama Lodge
293,Lagoa,PT,58.89,39.05,-27.9833,Casa Das Faias
294,Port Lincoln,AU,72.45,-34.7333,135.8667,Port Lincoln Hotel
295,Saint Anthony,US,15.93,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
296,Aswan,EG,56.43,24.0934,32.907,Nuba Nile
298,Vredendal,ZA,68.61,-31.6683,18.5012,Tharrakamma Guest House
299,Cabanas,CU,66.67,22.9758,-82.9219,Villa Luis Montesino y Anabel
300,Dobryanka,RU,8.46,58.4619,56.4165,Apartment on Zhukovskogo 19
301,Camapua,BR,68.72,-19.5314,-54.0439,Comercial Estrela
302,Caravelas,BR,75.97,-17.7125,-39.2481,Pousada dos Navegantes
303,Wanning,CN,75.22,18.8003,110.3967,Paradise Hotel
304,Antigonish,CA,34.12,45.6169,-61.9986,Claymore Inn and Suites
306,Del Rio,US,49.42,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
307,Malinovoye Ozero,RU,20.39,51.6753,79.7825,Solonyy Bereg
308,Comodoro Rivadavia,AR,74.28,-45.8667,-67.5,Austral Hotel
309,Chuy,UY,61.12,-33.6971,-53.4616,Nuevo Hotel Plaza
310,Muli,MV,82.15,2.9167,73.5667,Medhufushi Island Resort
312,Wodonga,AU,83.26,-36.1167,146.8833,The Hume Inn Motel
313,Torrington,US,36.05,41.8007,-73.1212,The Yankee Pedlar Inn
314,New Haven,US,38.05,41.4001,-72.9329,Clarion Hotel & Suites Hamden-New Haven
315,Troutdale,US,48.61,45.5393,-122.3873,McMenamins Edgefield
316,Xuanhua,CN,29.77,40.6103,115.0447,Jinjiang Inn Zhangjiakou Xuanhua People's Park
318,Novo Aripuana,BR,74.35,-5.1206,-60.3797,Hotel Ezequiel
319,Lidingo,SE,34.09,59.3667,18.1833,Scandic Foresta
320,Nicoya,CR,71.15,10.1483,-85.452,Las Cabinas Del Sueño
321,Napier,NZ,70.25,-39.4833,176.9167,The Nautilus Napier
324,Swan Hill,AU,89.71,-35.3378,143.5544,Lazy River Motor Inn
325,Tabas,IR,49.6,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
326,Erenhot,CN,18.93,43.6475,111.9767,Erenhot Rurouni Youth Hostel
327,San Jose De Guanipa,VE,74.86,8.8872,-64.1651,HOTEL 283 SUITES
329,Perth,AU,79.18,-31.9333,115.8333,Quest on Rheola
330,Harper,LR,78.28,4.375,-7.7169,Screensaver
331,Manfredonia,IT,50.83,41.6259,15.9094,Regiohotel Manfredi
333,Zapolyarnyy,RU,22.28,69.4154,30.8136,Pechenga
334,Batsfjord,NO,26.82,70.6345,29.7185,Adventure Apartements
335,Honiara,SB,78.3,-9.4333,159.95,Heritage Park Hotel
336,Naze,JP,62.87,28.3667,129.4833,Shishime Hotel
338,Margate,GB,51.66,51.3813,1.3862,Premier Inn Margate hotel
339,Itoman,JP,71.98,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
340,Ta Khmau,KH,89.65,11.4833,104.95,Takhmao Good Health Hotel
341,Gualaquiza,EC,63.19,-3.4,-78.55,Hotel Merceditas
342,Sabha,LY,52.63,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
345,Along,IN,66.29,28.1667,94.7667,Hotel West
346,Vardo,NO,26.8,70.3705,31.1107,Vardø Hotel AS
347,Izumo,JP,44.82,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
348,Arkhipo-Osipovka,RU,46.45,44.37,38.52,Zolotoy Kashtan Guest House
349,Hokitika,NZ,73.08,-42.7167,170.9667,Beachfront Hotel Hokitika
350,Karatau,KZ,31.89,43.1667,70.4667,Baza Zika
351,Fortuna,US,48.65,40.5982,-124.1573,Super 8 by Wyndham Fortuna
352,Mae Sai,TH,79.45,20.4335,99.8762,Piyaporn Hill Paradise Hotel
