City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
141,Port Keats,-14.25,129.55,88.52,67,89,7.7,AU,2022-02-08 05:06:20,overcast clouds
142,Meulaboh,4.1363,96.1285,85.41,60,98,3.53,ID,2022-02-08 05:02:12,overcast clouds
143,Papara,-3.9839,-38.7273,79.68,90,23,1.72,BR,2022-02-08 05:06:21,few clouds
144,Galich,58.3797,42.3475,26.49,96,100,9.19,RU,2022-02-08 05:06:22,snow
145,Mitsamiouli,-11.3847,43.2844,82.69,78,75,9.22,KM,2022-02-08 04:56:48,moderate rain
146,Carutapera,-1.195,-46.02,75.7,91,31,3.22,BR,2022-02-08 05:02:16,scattered clouds
147,Carnarvon,-24.8667,113.6333,86.05,36,0,17.63,AU,2022-02-08 05:06:23,clear sky
148,Rio Claro,-22.4114,-47.5614,61.81,95,99,3.89,BR,2022-02-08 05:06:23,overcast clouds
149,Warri,5.5167,5.75,74.57,91,14,2.21,NG,2022-02-08 05:06:23,few clouds
150,Grindavik,63.8424,-22.4338,28.87,93,100,46.04,IS,2022-02-08 05:06:24,light shower snow
151,Saldanha,-33.0117,17.9442,63.19,96,64,6.87,ZA,2022-02-08 05:06:24,broken clouds
152,Bucerias,20.75,-105.3333,65.61,86,0,5.06,MX,2022-02-08 04:58:05,clear sky
153,Beringovskiy,63.05,179.3167,-19.84,91,5,11.52,RU,2022-02-08 05:06:25,clear sky
154,Vila Velha,-20.3297,-40.2925,78.75,89,40,8.05,BR,2022-02-08 05:05:52,scattered clouds
155,Lerwick,60.1545,-1.1494,42.8,73,97,30.67,GB,2022-02-08 05:06:25,overcast clouds
156,Bosaso,11.2842,49.1816,75.25,69,1,3.47,SO,2022-02-08 05:03:22,clear sky
157,Bethel,41.3712,-73.414,37.26,93,100,4.7,US,2022-02-08 05:06:26,snow
158,Vostok,46.4856,135.8833,11.25,84,100,8.28,RU,2022-02-08 04:58:09,overcast clouds
159,Flin Flon,54.7682,-101.865,28.24,98,100,6.11,CA,2022-02-08 04:59:28,light snow
160,Aklavik,68.2191,-135.0107,-35.57,94,100,4.99,CA,2022-02-08 04:59:27,overcast clouds
161,Kunming,25.0389,102.7183,60.51,27,0,17.6,CN,2022-02-08 05:02:06,clear sky
162,Teeli,51.0333,90.2333,8.06,75,100,1.48,RU,2022-02-08 05:06:27,overcast clouds
163,Prince Rupert,54.3161,-130.3201,41.09,87,100,18.41,CA,2022-02-08 05:06:27,mist
164,Mount Gambier,-37.8333,140.7667,89.65,17,67,8.5,AU,2022-02-08 05:06:28,broken clouds
165,Inhambane,-23.865,35.3833,76.98,80,29,11.41,MZ,2022-02-08 05:06:28,scattered clouds
166,Qaqortoq,60.7167,-46.0333,1.96,53,69,34.61,GL,2022-02-08 05:06:28,broken clouds
167,Mahalapye,-23.1041,26.8142,67.5,66,3,9.26,BW,2022-02-08 05:06:29,clear sky
168,Elliot Lake,46.3834,-82.6331,10.49,96,98,4.45,CA,2022-02-08 05:06:29,overcast clouds
169,Esperance,-33.8667,121.9,69.62,54,42,14.58,AU,2022-02-08 05:06:30,scattered clouds
170,Bengkulu,-3.8004,102.2655,84.27,67,87,10.25,ID,2022-02-08 05:06:30,overcast clouds
171,Cabo San Lucas,22.8909,-109.9124,63.61,55,0,1.48,MX,2022-02-08 05:05:14,clear sky
172,Vila,42.0304,-8.1588,39.33,70,6,4.36,PT,2022-02-08 05:06:31,clear sky
173,Khromtau,50.2503,58.4347,16.75,95,100,7.58,KZ,2022-02-08 05:06:31,light snow
174,Valparaiso,-33.0393,-71.6273,64.47,79,20,3.44,CL,2022-02-08 05:06:31,few clouds
175,Castro,-24.7911,-50.0119,61.11,96,28,7.07,BR,2022-02-08 05:01:48,scattered clouds
176,Thinadhoo,0.5333,72.9333,82.62,68,94,13.73,MV,2022-02-08 04:59:23,overcast clouds
177,Tasiilaq,65.6145,-37.6368,23.16,77,100,7.45,GL,2022-02-08 05:03:11,light snow
178,Port Hardy,50.6996,-127.4199,44.76,90,97,4.34,CA,2022-02-08 05:00:31,overcast clouds
179,Findlay,41.0442,-83.6499,24.22,86,100,11.5,US,2022-02-08 05:04:13,haze
180,Carthage,36.8611,10.3316,54.93,76,40,6.91,TN,2022-02-08 05:05:44,scattered clouds
181,Boundiali,9.5217,-6.4869,68.97,22,7,3.04,CI,2022-02-08 05:06:33,clear sky
182,Oriximina,-1.7656,-55.8661,72.64,98,98,2.28,BR,2022-02-08 05:07:34,moderate rain
183,Biak,-0.9131,122.8766,81.48,74,84,3.06,ID,2022-02-08 05:05:55,broken clouds
184,Qasigiannguit,68.8193,-51.1922,-0.15,93,100,9.37,GL,2022-02-08 05:07:34,overcast clouds
185,Praia Da Vitoria,38.7333,-27.0667,57.76,86,100,4.27,PT,2022-02-08 05:01:04,overcast clouds
186,Tura,25.5198,90.2201,67.98,44,0,3.91,IN,2022-02-08 04:58:04,clear sky
187,Vestmannaeyjar,63.4427,-20.2734,29.89,66,100,48.47,IS,2022-02-08 05:07:35,light snow
188,Ixtapa,20.7,-105.2,69.03,88,0,0.0,MX,2022-02-08 05:07:35,clear sky
189,Khatanga,71.9667,102.5,-10.59,90,100,13.38,RU,2022-02-08 05:07:36,overcast clouds
190,Goma,-1.6792,29.2228,64.24,82,95,1.23,CD,2022-02-08 05:07:36,overcast clouds
191,Ancud,-41.8697,-73.8203,63.23,95,97,6.13,CL,2022-02-08 05:04:47,light rain
192,Thompson,55.7435,-97.8558,21.36,98,100,5.26,CA,2022-02-08 05:07:37,overcast clouds
193,Puerto Leguizamo,-0.1934,-74.7819,70.54,99,100,2.26,CO,2022-02-08 05:07:37,overcast clouds
194,Abha,18.2164,42.5053,50.25,58,0,0.0,SA,2022-02-08 05:07:38,clear sky
195,Norman Wells,65.282,-126.8329,-21.59,96,100,6.58,CA,2022-02-08 05:07:38,overcast clouds
196,Sayyan,15.1718,44.3244,50.45,41,65,2.35,YE,2022-02-08 05:07:38,broken clouds
197,Oistins,13.0667,-59.5333,77.09,73,40,13.8,BB,2022-02-08 05:05:47,scattered clouds
198,Hilo,19.7297,-155.09,71.33,87,100,5.75,US,2022-02-08 05:04:43,moderate rain
199,Waipawa,-41.4122,175.5153,67.93,93,100,5.79,NZ,2022-02-08 05:07:40,overcast clouds
200,Roura,4.7263,-52.3274,79.97,83,75,4.61,GF,2022-02-08 05:07:40,broken clouds
